Country/Region,NOC,GDP_Growth,average_capita,population,GDP,Host,Age,Athelete,Gold,Medal
Japan,JPN,0.690451664,37962.5369,125644668.3,4.98E+12,1,25,870,12,39
Ukraine,UKR,1.268124144,2861.686822,440000000,1.56E+11,0,26.47,534,2,11
USA,USA,1.001045176,55760.32428,329000000,2.09E+13,0,26.38,613,46,119
Poland,POL,3.005892409,13248.4268,370000000,5.94E+11,0,27.08,577,2,10
New Zealand,NZL,2.358497765,41565.19226,5000000,2.11E+11,0,26.02,463,4,18
Hungary,HUN,2.350259688,13437.98104,9754150.25,1.55E+11,0,26.79,407,8,15
Canada,CAN,0.482011149,47375.72813,38583196,1.64E+12,0,25.99,809,3,20
China,CHN,5.486672214,7736.031524,1407883750,1.47E+13,0,23.98,997,26,67
Spain,ESP,-0.871283028,27689.61497,47350000,1.28E+12,0,27.66,725,7,17
South Korea,KOR,1.787155379,28613.35276,51780000,1.63E+12,0,25.65,525,9,18
Italy,ITA,-1.493525044,33059.58264,59550000,1.89E+12,0,26.85,797,8,28
Brazil,BRA,0.114660132,10484.25267,212608615.8,1.44E+12,0,27.2,880,7,18
Australia,AUS,1.781503348,59346.93785,25692679.25,1.33E+12,0,26.55,1035,8,29
France,FRA,-0.630507286,39819.9394,67395782,2.63E+12,0,27.1,1023,10,41
Germany,GER,-0.117780831,44360.00107,83415846.25,3.85E+12,0,26.54,1071,17,38
UK,GBR,-1.356631396,2861.686822,67000000,2.71E+12,0,26.68,955,27,65
Russia,RUS,0.928686078,2861.686822,144258990,1.48E+12,0,25.42,811,19,55
Cuba,CUB,0.960021576,7431.465149,11312379,1.03E+11,0,24.56,285,5,11
Kazakhstan,KAZ,2.525,11230.87635,18750000,1.70E+11,0,25.72,245,3,16
Kenya,KEN,4.045599676,1318.400738,55770000,98842939649,0,26.56,159,6,13
